CO_CATEGORIA_ADMINISTRATIVA,NO_OCDE_AREA_GERAL
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Engenharia, produção e construção"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
2.0,"Ciências sociais, negócios e direito"
