,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA,NO_OCDE_AREA_GERAL
352,caf5da1c9da2a9152f986e12746d452aa7a78107,5.0,1.0,1.0,3.0,1.0,0.0,1997,6,24,42.0,2016-01-07,0.0,0.0,0.0,0.0,Serviços
417,c90230593f374a00e58509635329faaea9866b70,1.0,4.0,1.0,3.0,1.0,2.0,1992,5,20,35.0,2016-01-01,,,1.0,0.0,Serviços
648,9d40c3ceaead3b51b66a55b890d0f996ffb6bd58,1.0,4.0,1.0,3.0,1.0,1.0,1991,12,16,42.0,2014-01-01,,,1.0,0.0,Serviços
791,2a819789d41e253a38d71bb490aca9b0f2f1e166,1.0,4.0,1.0,3.0,1.0,1.0,1976,4,5,33.0,2016-01-01,,,0.0,0.0,Serviços
838,b9cf3ce4c364c77b94a0d7cd43e25ab14d66d75e,1.0,4.0,1.0,3.0,1.0,1.0,1995,9,10,35.0,2014-01-01,,,1.0,0.0,Serviços
1028,b0b1767edec0cdfed38f3e6bbf0cc3ec08cdd096,1.0,4.0,1.0,3.0,1.0,1.0,1996,9,25,42.0,2014-01-07,,,1.0,0.0,Serviços
1168,6b883df80d6f42ab15f4af1c258d8a69df9ad3b1,5.0,1.0,3.0,3.0,1.0,1.0,1996,8,16,42.0,2016-01-01,0.0,0.0,0.0,0.0,Serviços
1399,3ba92acb1fe26790451dd5337924e7da61f7208d,5.0,2.0,1.0,3.0,1.0,1.0,1997,2,7,42.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
1604,0f6b9ca91aa14f8cb60feef6674b02e3539e63cc,1.0,4.0,1.0,3.0,1.0,1.0,1968,4,3,42.0,2016-01-07,,,0.0,0.0,Serviços
1618,d276330c6d8e9e05fbd186eda25b527224a91c51,5.0,3.0,3.0,3.0,1.0,1.0,1968,10,12,42.0,2010-01-01,0.0,,0.0,0.0,Serviços
1800,e454a1a89d954f08632be4c2af40db100a89b829,1.0,4.0,1.0,3.0,1.0,3.0,1995,2,27,42.0,2016-01-07,,,1.0,0.0,Serviços
1835,6ba5274d2267976edd412722a6cea19af9185b34,1.0,4.0,1.0,3.0,1.0,1.0,1983,7,6,42.0,2015-01-01,,,1.0,0.0,Serviços
1837,49bff8c60de6cb4bc548baa06038b19503b70485,1.0,4.0,1.0,3.0,1.0,1.0,1994,3,8,42.0,2013-01-01,,,0.0,0.0,Serviços
1936,a523a883c467466c0c3e33a7cd0cc3fc99e3bda7,1.0,4.0,1.0,3.0,1.0,3.0,1971,11,25,52.0,2014-01-01,,,1.0,0.0,Serviços
2505,34e838f6921dc152039e00f5dd7d0f9faea5f4c9,1.0,4.0,1.0,3.0,1.0,1.0,1980,12,31,42.0,2014-01-01,,,1.0,0.0,Serviços
2617,ae184f7671bbba8283cb4948ecbe4e5456ccba20,1.0,4.0,1.0,3.0,1.0,1.0,1994,2,10,41.0,2015-01-01,,,1.0,0.0,Serviços
2817,e6905df8f5df84c054922b72e159f9003b8919ab,1.0,4.0,1.0,3.0,1.0,1.0,1968,4,3,42.0,2016-01-01,,,0.0,0.0,Serviços
2918,0d5cbdb2210c374b1dfb5c9f480f81c7feb39138,1.0,4.0,1.0,3.0,1.0,1.0,1997,10,9,42.0,2015-01-01,,,0.0,0.0,Serviços
2935,32a0bd95b0b9b3881fc19ea867f20d6c42adc25a,5.0,1.0,1.0,3.0,1.0,1.0,1994,8,1,42.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
3053,285d88c5f5a6ca435108a129cc56cc50986f3ecc,4.0,3.0,3.0,3.0,1.0,1.0,1993,2,24,,2013-01-07,0.0,0.0,1.0,0.0,Serviços
3260,01c0815fe3d356e0a33c27dd02c6ecb866e34d08,5.0,1.0,3.0,3.0,1.0,0.0,1987,7,17,42.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
3275,7a16d83ecaf5319c4aa38d6ed7dac2ab58dc322a,1.0,4.0,1.0,3.0,1.0,1.0,1998,10,26,42.0,2016-01-01,,,1.0,0.0,Serviços
3395,968a0616dd56021aebd9684e81025621a1024cd4,1.0,4.0,1.0,3.0,1.0,1.0,1995,7,13,35.0,2016-01-01,,,1.0,0.0,Serviços
3463,a9e36c45fa27ea41cdfb1251e28138d30a80433c,1.0,4.0,1.0,3.0,1.0,1.0,1997,7,11,41.0,2015-01-01,,,1.0,0.0,Serviços
3593,9d45a3c7f59142a0f9c50b1ec23e175815f63171,1.0,4.0,1.0,3.0,1.0,1.0,1987,5,16,42.0,2016-01-07,,,0.0,0.0,Serviços
3632,c7d7af165855c78aa44ede95e92beab78923bc36,1.0,4.0,1.0,3.0,1.0,2.0,1969,4,29,35.0,2014-01-01,,,0.0,0.0,Serviços
3652,bbfc81b9c574ce021a3722070c5afe578e85628e,1.0,4.0,1.0,3.0,1.0,3.0,1993,9,7,42.0,2013-01-01,,,1.0,0.0,Serviços
3803,209121e523363881dd7112542504a0cbab878a73,1.0,4.0,1.0,3.0,1.0,1.0,1989,1,29,42.0,2016-01-01,,,1.0,0.0,Serviços
3859,503f04e2bdecfff0203fe495932ef13f58642e16,5.0,1.0,1.0,3.0,1.0,0.0,1985,11,20,42.0,2014-01-01,1.0,0.0,1.0,0.0,Serviços
4669,e72649add5eaa2d3c4fafc8d4ac4ad10f95f59f4,5.0,1.0,3.0,3.0,1.0,1.0,1998,3,30,42.0,2016-01-01,1.0,0.0,0.0,0.0,Serviços
4720,d2b945ec001df5acbb36cb1d306560c3996d34b0,1.0,4.0,1.0,3.0,1.0,1.0,1985,11,26,35.0,2014-01-01,,,1.0,0.0,Serviços
4776,209bccf834836a35e073e9bbb90b19d8f800a76b,1.0,4.0,1.0,3.0,1.0,3.0,1994,11,9,,2016-01-01,,,0.0,0.0,Serviços
4870,28ed8e1ccc70909d9db1fe576964b7a5cc166299,1.0,4.0,1.0,3.0,1.0,1.0,1991,7,3,42.0,2014-01-01,,,0.0,0.0,Serviços
4975,80b0ee2ae1213d551d1b11103add61852991ebdb,5.0,1.0,3.0,3.0,1.0,0.0,1992,1,16,42.0,2014-01-01,1.0,0.0,0.0,0.0,Serviços
5116,bd76142fbdfab165a2ef14ec3fd110c76a3cb50f,5.0,2.0,1.0,3.0,1.0,1.0,1989,11,24,35.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
5126,3356b76ced527fadca6d22b62d70c649fd6ebf07,5.0,1.0,3.0,3.0,1.0,0.0,1990,11,15,42.0,2014-01-01,1.0,0.0,1.0,0.0,Serviços
5136,a39ec507f14529aa6f72fb4ca6ffbe1d4ce43a5f,5.0,1.0,3.0,3.0,1.0,0.0,1996,1,19,42.0,2014-01-01,0.0,0.0,0.0,0.0,Serviços
5605,4b6462e5a60605d5ed2f3395411cd62e1c2aeae5,1.0,4.0,1.0,3.0,1.0,1.0,1995,1,15,42.0,2013-01-01,,,1.0,0.0,Serviços
5703,21fe72eb8b3cfc91c290edbea373c2d07a707c02,5.0,1.0,1.0,3.0,1.0,3.0,1995,8,12,42.0,2016-01-01,0.0,0.0,1.0,0.0,Serviços
5879,195ceadf4783cdde915e7aadf94fa85b0ef3c54b,5.0,1.0,3.0,3.0,1.0,1.0,1997,11,19,42.0,2016-01-01,0.0,0.0,1.0,0.0,Serviços
5981,5cb86bb1da3fd0af4fa7668bd7ccf384eaf97e06,5.0,3.0,3.0,3.0,1.0,1.0,1990,4,27,,2011-01-01,0.0,,1.0,0.0,Serviços
6104,f7fc1efe0bf8487444b7b59177148ac611ef3c78,1.0,4.0,1.0,3.0,1.0,1.0,1981,5,16,43.0,2014-01-01,,,0.0,0.0,Serviços
6759,a9e5cbd08154c56c2570a159f7992c1b931c1f70,1.0,4.0,1.0,3.0,1.0,3.0,1984,1,26,29.0,2013-01-01,,,0.0,0.0,Serviços
6850,61b464260d4451aeba84a0b43d075b35eb7cce67,4.0,3.0,3.0,3.0,1.0,0.0,1989,10,1,,2008-01-07,0.0,0.0,1.0,0.0,Serviços
6928,6a623b2d90542ca1e1d4d123dc8f74667d16e5ff,1.0,4.0,1.0,3.0,1.0,1.0,1984,7,28,42.0,2016-01-01,,,0.0,0.0,Serviços
