,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA,NO_OCDE_AREA_GERAL
"2,ea880a8c0076b5fa316b55f64bfc089203e014f7,5.0,1.0,1.0,1.0,1.0,0.0,1993,12,17,42.0,2014-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"7,7ecd038bc0868bf1b1b35d618ee71f12b569ba22,1.0,1.0,4.0,1.0,1.0,1.0,1992,9,13,42.0,2015-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"9,86a31bd034be3eba266499c983313d1e930cf594,2.0,1.0,4.0,1.0,1.0,1.0,1998,1,26,,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"10,676333e4b557e53069c958093d20f07e97da6532,1.0,1.0,4.0,1.0,1.0,1.0,1998,3,23,,2016-01-01,,0.0,1.0,,""Engenharia, produção e construção"""
"12,cd10bd964e05679f288ad82577270623404f7c6b,1.0,1.0,4.0,1.0,1.0,1.0,1993,3,17,42.0,2012-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"13,aecd2ad3ab75e2cf78c0944d19fe465d132a8272,1.0,1.0,4.0,1.0,1.0,1.0,1996,4,15,42.0,2015-01-07,,0.0,0.0,,""Engenharia, produção e construção"""
"19,b1349e1bbca0e851bc3a9f8de3416a7c60a67f25,1.0,1.0,4.0,1.0,1.0,1.0,1997,3,11,42.0,2015-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"20,1661ea7bb56e6880d4aa497ec79764f11048e961,1.0,1.0,4.0,1.0,1.0,1.0,1996,3,11,41.0,2014-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"27,a265675a79659d346e5c6f874838a0f3e59b6e0b,1.0,1.0,4.0,1.0,1.0,1.0,1995,5,28,42.0,2013-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"30,aae73d005ad17229b8dd960f55fd436d35528bc7,1.0,1.0,4.0,1.0,1.0,1.0,1997,10,25,42.0,2014-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"31,acca3bea7357a28d8b34b270e1bf213aa69cb22a,4.0,3.0,3.0,1.0,1.0,1.0,1994,11,28,,2015-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"34,673e9ade7520fe71075022d0ba52f738806084b2,5.0,2.0,3.0,1.0,1.0,1.0,1992,11,27,42.0,2015-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"38,b2837f2029c021f52f2e16b54b424a196b98ba95,1.0,1.0,4.0,1.0,1.0,1.0,1991,4,26,42.0,2010-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"40,1630604739d74959c49ab64a991bdef3f3d83e6d,5.0,2.0,3.0,1.0,1.0,1.0,1997,7,24,42.0,2015-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"43,53bc3800995171ec778f5f32cb158cee011c920f,1.0,4.0,3.0,1.0,1.0,3.0,1987,7,7,29.0,2016-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"51,ff767722d6c10064bbc07b3a35714771be4780a9,1.0,1.0,4.0,1.0,1.0,1.0,1997,2,7,42.0,2015-01-07,,0.0,0.0,,""Engenharia, produção e construção"""
"56,a2fe2d2f6f4d7da71b10a49731b9ad863d5ef11e,1.0,4.0,4.0,1.0,1.0,1.0,1993,11,23,31.0,2015-01-07,,,1.0,0.0,""Engenharia, produção e construção"""
"58,3e7e40603650e7f4e79786580042dc9c3ba2fc9e,5.0,1.0,3.0,1.0,1.0,0.0,1996,2,27,41.0,2014-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"65,defdb43d733e57407a8e23d28a0ad752dd84eb40,1.0,4.0,4.0,1.0,1.0,1.0,1997,9,17,42.0,2015-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"66,ec71309911e585bd4e0319f961f6a26706a68400,1.0,1.0,4.0,1.0,1.0,1.0,1991,7,30,42.0,2014-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"70,74a1a217dd7b80cb82ecad615ff44677534c3e6f,5.0,2.0,3.0,1.0,1.0,1.0,1995,12,8,42.0,2013-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"71,404eb7c07aaf7f51cb570c2ef9dcd648c3caca96,1.0,1.0,4.0,1.0,1.0,1.0,1997,4,30,43.0,2016-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"74,707cb3448f53caeb3f540ac982b44489cbaf31c8,1.0,1.0,4.0,1.0,1.0,3.0,1996,7,2,35.0,2014-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"78,6ae0f1134264787c149a46bc4b2db80123af9b3d,1.0,1.0,4.0,1.0,1.0,1.0,1988,12,19,42.0,2007-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"79,0077fb013622b5533961bad3796ca01b22890d9d,1.0,4.0,1.0,1.0,1.0,1.0,1992,7,14,42.0,2011-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"84,e656fb9c4cd958cc7f6ab1e0227bd54bb43230e6,5.0,1.0,3.0,1.0,1.0,0.0,1996,4,18,42.0,2014-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"85,f32fa89203a90ad9970f2fd0d0d6577e6b2fa47c,5.0,2.0,1.0,1.0,1.0,1.0,1995,3,9,42.0,2013-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"92,4d02845f0b48f11eb5f097adcb57db5a0a84b7a4,1.0,1.0,4.0,1.0,1.0,3.0,1994,9,30,42.0,2013-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"94,8e977940d487b4e5919e27dd3c0c3d13971b85a0,1.0,1.0,4.0,1.0,1.0,1.0,1996,4,19,53.0,2014-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"95,7a89a99d36027e97f5296db9d9088019f9c7b0b3,1.0,1.0,4.0,1.0,1.0,1.0,1994,7,21,42.0,2013-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"98,11c2958db162c3838adee9c6af5abace3cfd72be,5.0,2.0,1.0,1.0,1.0,1.0,1989,8,12,42.0,2014-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"108,b1900b46ba3cb035a9d369ef2eb192e55ed107d1,2.0,1.0,4.0,1.0,1.0,0.0,1997,8,12,33.0,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"111,4a1bf85c96ce08528bda854e5be361eadc734fb9,1.0,1.0,4.0,1.0,1.0,1.0,1995,7,3,43.0,2013-01-07,,0.0,0.0,,""Engenharia, produção e construção"""
"117,2ed0cf302af4a9b205f66ebc30afb44c3b557022,1.0,4.0,1.0,1.0,1.0,1.0,1984,3,16,43.0,2016-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"122,28cfba7f0a04269efe7fa1ea63e845ef84edfb77,5.0,1.0,3.0,1.0,1.0,0.0,1989,7,11,42.0,2011-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"124,28fd694903c2b3d20f71aad08b8ec720fbc4bac1,5.0,2.0,3.0,1.0,1.0,1.0,1996,12,10,42.0,2015-01-07,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"137,35e896442a8b46cb714db2cf7d87579932213923,1.0,4.0,1.0,1.0,1.0,1.0,1994,5,28,41.0,2012-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"142,cfca231e9d99654c978cfff00c3c4a5151d39768,1.0,1.0,4.0,1.0,1.0,1.0,1998,5,4,42.0,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"144,3baa9ba82506ad596c5c36f4f78ee5ebe801f67b,1.0,1.0,4.0,1.0,1.0,3.0,1987,6,11,42.0,2015-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"145,f7638122dc85535b24b8705e9729ee4539d711e5,2.0,1.0,4.0,1.0,1.0,1.0,1988,8,22,42.0,2015-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"154,a62e4ed02de3527ae9fe351c1a7f87adf60d74d9,5.0,2.0,3.0,1.0,1.0,3.0,1982,2,12,42.0,2014-01-07,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"157,e70945ab2c86ed43287896fed731c2f78d0b1b86,4.0,3.0,3.0,3.0,1.0,0.0,1989,9,27,,2010-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
